C*******************************************************************************
C
C                  INTEGRATED WATER FLOW MODEL (IWFM)
C
C*******************************************************************************
C
C                 RICE/REFUGE POND DEPTH DATA FILE
C                       Root Zone Component
C                       *** Version 4.11 ***
C
C
C             Project:  C2VSim: California Central Valley Groundwater-Surface Water Simulation Model
C             Filename: CVRZ_PondDepth_v411.dat
C             Version:  R385-2015-CG 2016.11.01
C
C***********************************************************************
C  California Central Valley Groundwater-Surface Water Flow Model (C2VSim)
C  Copyright (C) 2012-2017
C  State of California, Department of Water Resources 
C
C  This model is free. You can redistribute it and/or modify it 
C  under the terms of the GNU General Public License as published 
C  by the Free Software Foundation; either version 2 of the License, 
C  or (at your option) any later version.
C
C  This model is distributed WITHOUT ANY WARRANTY; without even 
C  the implied warranty of MERCHANTABILITY or FITNESS FOR A 
C  PARTICULAR PURPOSE.  See the GNU General Public License for 
C  more details. (http://www.gnu.org/licenses/gpl.html)
C
C  The GNU General Public License is available from the Free Software
C  Foundation, Inc., 59 Temple Place - Suite 330, Boston, MA  02111-1307, USA.
C
C  For tecnical support, e-mail: IWFMtechsupport@water.ca.gov 
C
C
C  Principal Contact:
C    Tariq N. Kadir, PE, Senior Engineer, DWR
C       (916) 653-3513, kadir@water.ca.gov
C
C  Principal Developer and Technical Support:
C    Charles F. Brush, PhD, PE, Engineer, DWR
C       (916) 651-8705, cbrush@water.ca.gov
C
C
C*******************************************************************************
C                           File Description
C
C   This data file contains a set of ponding depths for rice fields and refuges.
C   These values are correlated to individual grid elements through the Rice/Refuge 
C   Data File.
C
C*******************************************************************************
C                 Rice/Refuge Pond Depth Data Specifications
C
C   NCOLPND  ; Number of pond depth data columns
C   FACTPND  ; Conversion factor for pond depths 
C   NSPPND   ; Number of time steps to update the pond depths
C               * Enter any number if time-tracking option is on
C   NFQPND   ; Repetition frequency of the pond depth data 
C               * Enter 0 if full time series data is supplied
C               * Enter any number if time-tracking option is on
C   DSSFL    ; The name of the DSS file for data input 
C               * Leave blank if DSS file is not used for data input
C
C-------------------------------------------------------------------------------
C         VALUE                                      DESCRIPTION
C-------------------------------------------------------------------------------
          5                                          / NCOLPND
          1                                          / FACTPND 
          1                                          / NSPPND 
          0                                          / NFQPND
                                                     / DSSFL
C----------------------------------------------------------------------------------------------
C                         Rice/Refuge Pond Depth Data 
C                            (READ FROM THIS FILE)
C
C   List the rice/refuge pond depths below, if it will not be read from
C   a DSS file (i.e. DSSFL is left blank above).
C
C   TIME ;  Time
C   PND  ;  Pond depths; [L]
C
C----------------------------------------------------------------------------------------------
C  	TIME    		PND[1]    PND[2]    PND[3] ... PND[NCOLPND]  
C----------------------------------------------------------------------------------------------
	10/31/1921_24:00	1.00	1.00	1.00	1.00	1.00
	11/30/1921_24:00	1.00	1.00	1.00	1.00	1.00
	12/31/1921_24:00	1.00	1.00	1.00	1.00	1.00
	01/31/1922_24:00	1.00	1.00	1.00	1.00	1.00
	02/28/1922_24:00	1.00	1.00	1.00	1.00	1.00
	03/31/1922_24:00	1.00	1.00	1.00	1.00	1.00
	04/30/1922_24:00	1.00	1.00	1.00	1.00	1.00
	05/31/1922_24:00	1.00	1.00	1.00	1.00	1.00
	06/30/1922_24:00	1.00	1.00	1.00	1.00	1.00
	07/31/1922_24:00	1.00	1.00	1.00	1.00	1.00
	08/31/1922_24:00	1.00	1.00	1.00	1.00	1.00
	09/30/1922_24:00	1.00	1.00	1.00	1.00	1.00
	10/31/1922_24:00	1.00	1.00	1.00	1.00	1.00
	11/30/1922_24:00	1.00	1.00	1.00	1.00	1.00
	12/31/1922_24:00	1.00	1.00	1.00	1.00	1.00
	01/31/1923_24:00	1.00	1.00	1.00	1.00	1.00
	02/28/1923_24:00	1.00	1.00	1.00	1.00	1.00
	03/31/1923_24:00	1.00	1.00	1.00	1.00	1.00
	04/30/1923_24:00	1.00	1.00	1.00	1.00	1.00
	05/31/1923_24:00	1.00	1.00	1.00	1.00	1.00
	06/30/1923_24:00	1.00	1.00	1.00	1.00	1.00
	07/31/1923_24:00	1.00	1.00	1.00	1.00	1.00
	08/31/1923_24:00	1.00	1.00	1.00	1.00	1.00
	09/30/1923_24:00	1.00	1.00	1.00	1.00	1.00
	10/31/1923_24:00	1.00	1.00	1.00	1.00	1.00
	11/30/1923_24:00	1.00	1.00	1.00	1.00	1.00
	12/31/1923_24:00	1.00	1.00	1.00	1.00	1.00
	01/31/1924_24:00	1.00	1.00	1.00	1.00	1.00
	02/29/1924_24:00	1.00	1.00	1.00	1.00	1.00
	03/31/1924_24:00	1.00	1.00	1.00	1.00	1.00
	04/30/1924_24:00	1.00	1.00	1.00	1.00	1.00
	05/31/1924_24:00	1.00	1.00	1.00	1.00	1.00
	06/30/1924_24:00	1.00	1.00	1.00	1.00	1.00
	07/31/1924_24:00	1.00	1.00	1.00	1.00	1.00
	08/31/1924_24:00	1.00	1.00	1.00	1.00	1.00
	09/30/1924_24:00	1.00	1.00	1.00	1.00	1.00
	10/31/1924_24:00	1.00	1.00	1.00	1.00	1.00
	11/30/1924_24:00	1.00	1.00	1.00	1.00	1.00
	12/31/1924_24:00	1.00	1.00	1.00	1.00	1.00
	01/31/1925_24:00	1.00	1.00	1.00	1.00	1.00
	02/28/1925_24:00	1.00	1.00	1.00	1.00	1.00
